code,name
Thailand,Thailand
Togo,Togo
Tonga,Tonga
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
Turkmenistan,Turkmenistan
Turks and Caicos Islands,Turks and Caicos Islands
Tuvalu,Tuvalu
Uganda,Uganda
United Arab Emirates,United Arab Emirates
United Republic of Tanzania,United Republic of Tanzania
United States Virgin Islands,United States Virgin Islands
United States of America,United States of America
Vanuatu,Vanuatu
Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
Viet Nam,Viet Nam
Yemen,Yemen
Zambia,Zambia
Christmas Is.(Aust),Christmas Is.(Aust)
Kosovo,Kosovo
Montenegro,Montenegro
Wallis and Futuna Islands,Wallis and Futuna Islands
Timor-Leste,Timor-Leste
Sudan,Sudan
Curaçao,Curaçao
Sint Maarten,Sint Maarten
South Sudan,South Sudan
